original,new
Administration,Administration
Board room,Administration
Cafe,Commercial: Hospitality
Cancer Care,Cancer Care
Cardiac Day Ward,Patient services: Cardiac Day Ward
Carpark,Commercial: Facilities: Car park
Clinical Write Up Room,Patient services: clinical write up room
CSSD,Theatre: CSSD
Endoscopy,Patient Services: Endoscopy
Finance House,Administration
Grounds,Commercial:  Facilities
Hospital Wide,Commercial: Facilities
Housekeeping and Facilities,Commercial: Housekeeping and facilities
Kea Ward,Patient Services: Kea
Kitchen,Commercial: Hospitality
Laundry,Commercial: Laundry
MCVS,MCVS
Medical Records Room,Commercial: Medical records
Off Site,Off Site
PACU,Patient Services: PACU
Plant Room,Commercial: facilities
Pre-Admission ,Patient Services: Pre-Admission
Reception,Commercial: reception
SCU,Patient Services: SCU
Senior Leadership Corridor,Administration
Service Corridors,Commercial: hospitality
Staff Carpark,Commercial: staff caprark
Stairwells,Commercial: facilities
Stores,Commercial: stores
Theatre Change Room,Theatre: Theatre change room
Theatre Services,Theatre: Theatre services
Theatre Suite,Theatre: Theatre suite
Theatre Tea Room,Theatre: Theatre tea room
Tui Ward,Patient Services: Tui Ward
Upstairs Courtyard,Commercial: facilities
Upstairs Tea Room,Commercial: facilities
Ward Change Room,Patient Services: ward change room
Ward: Day-Stay Ward,Patient services: day-stay ward
Ward: In-Patient Ward,Patient Services: In-patient Ward
